Scientific name	Accession	Clade
Acronicta psi	GCA_946251945.1	metazoa
Amblyteles armatorius	GCA_933228735.2	metazoa
Andrena trimmerana	GCA_951215215.1	metazoa
Anoplius nigerrimus	GCA_914767785.2	metazoa
Anthonomus grandis grandis	GCA_022605725.3	metazoa
Anthonomus grandis grandis	GCA_022605725.3	metazoa
Anthonomus grandis grandis	GCA_022605985.2	metazoa
Apoderus coryli	GCA_911728435.2	metazoa
Aproaerema taeniolella	GCA_949987775.1	metazoa
Arvicanthis niloticus	GCA_011762505.1	metazoa
Asterias rubens	GCA_902459465.3	metazoa
Asterias rubens	GCA_902459465.3	metazoa
Bellardia bayeri	GCA_950370525.1	metazoa
Bellardia pandia	GCA_916048285.2	metazoa
Bellardia pandia	GCA_916050155.1	metazoa
Biomphalaria glabrata	GCA_947242115.1	metazoa
Brachylomia viminalis	GCA_937001585.2	metazoa
Bubalus carabanensis	GCA_029407905.2	metazoa
Callimorpha dominula	GCA_949752705.1	metazoa
Calliphora vomitoria	GCA_942486075.2	metazoa
Calliphora vomitoria	GCA_942486075.1	metazoa
Calliphora vomitoria	GCA_942486065.1	metazoa
Carassius auratus red var.	GCA_009069565.1	metazoa
Carcharodon carcharias	GCA_017639515.1	metazoa
Carposina sasakii	GCA_014607495.2	metazoa
Cervus elaphus	GCA_910594005.1	metazoa
Chymomyza fuscimana	GCA_949987675.1	metazoa
Cistogaster globosa	GCA_937654795.1	metazoa
Cistogaster globosa	GCA_937654215.1	metazoa
Cosmia pyralina	GCA_946251865.1	metazoa
Cosmia trapezina	GCA_905163495.3	metazoa
Cybosia mesomella	GCA_946251875.1	metazoa
Cydia splendana	GCA_910591565.2	metazoa
Dasysyrphus albostriatus	GCA_946251825.1	metazoa
Drepana falcataria	GCA_945859695.1	metazoa
Drosophila phalerata	GCA_951394115.1	metazoa
Drosophila subpulchrella	GCA_014743375.2	metazoa
Empis stercorea	GCA_949752835.1	metazoa
Epirrhoe tristata	GCA_951394285.1	metazoa
Epirrita christyi	GCA_951392215.1	metazoa
Eupeodes corollae	GCA_945859685.1	metazoa
Eupeodes luniger	GCA_951508365.1	metazoa
Eurois occulta	GCA_950022335.1	metazoa
Eustalomyia histrio	GCA_949748255.1	metazoa
Felis catus x Leopardis geoffroyi	GCA_018350155.1	metazoa
Felis catus x Prionailurus bengalensis	GCA_016509475.1	metazoa
Ficedula albicollis	GCA_000247815.2	metazoa
Gobiocypris rarus	GCA_023029165.1	metazoa
Grus americana	GCA_028858705.1	metazoa
Gymnosoma rotundatum	GCA_916610165.1	metazoa
Gymnosoma rotundatum	GCA_916610175.1	metazoa
Gymnosoma rotundatum	GCA_916610175.2	metazoa
Gymnosoma rotundatum	GCA_916610165.2	metazoa
Harpalus rufipes	GCA_951394325.1	metazoa
Helicoverpa zea	GCA_022581195.1	metazoa
Helicoverpa zea	GCA_022581195.1	metazoa
Hemibagrus wyckioides	GCA_019097595.1	metazoa
Heteromyza rotundicornis	GCA_951394025.1	metazoa
Hoplodrina ambigua	GCA_949774945.1	metazoa
Hypsopygia costalis	GCA_937001695.2	metazoa
Idaea straminata	GCA_951213275.1	metazoa
Lampris incognitus	GCA_022059245.1	metazoa
Leguminivora glycinivorella	GCA_023078275.1	metazoa
Leguminivora glycinivorella	GCA_023078275.1	metazoa
Lithophane socia	GCA_947522845.1	metazoa
Lomographa bimaculata	GCA_948107675.1	metazoa
Lumbricus rubellus	GCA_945859605.1	metazoa
Lutra lutra	GCA_902655055.2	metazoa
Lycophotia porphyrea	GCA_950005105.1	metazoa
Lytechinus variegatus	GCA_018143015.1	metazoa
Malthinus flaveolus	GCA_950108345.1	metazoa
Manduca sexta	GCA_014839805.1	metazoa
Manduca sexta	GCA_014839805.1	metazoa
Martes flavigula	GCA_029410595.1	metazoa
Melanchra persicariae	GCA_947386145.1	metazoa
Melinaea menophilus n. ssp. AW-2005	GCA_918358695.1	metazoa
Melinaea menophilus n. ssp. AW-2005	GCA_918361105.2	metazoa
Merzomyia westermanni	GCA_949987695.1	metazoa
Mimachlamys varia	GCA_947623455.1	metazoa
Mus spretus	GCA_921997135.2	metazoa
Mustela putorius	GCA_902460205.1	metazoa
Myopa testacea	GCA_949629155.1	metazoa
Mythimna impura	GCA_905147345.3	metazoa
Neodiprion lecontei	GCA_021901455.1	metazoa
Neodiprion lecontei	GCA_021901455.1	metazoa
Neodiprion virginianus	GCA_021901495.1	metazoa
Nibea coibor	GCA_023373845.1	metazoa
Nowickia ferox	GCA_936439885.1	metazoa
Nowickia ferox	GCA_936446695.1	metazoa
Ochlodes sylvanus	GCA_905404295.2	metazoa
Oncorhynchus mykiss	GCA_013265735.3	metazoa
Orthosia gracilis	GCA_947563345.1	metazoa
Orthosia incerta	GCA_948253185.1	metazoa
Oryza sativa aromatic subgroup	GCA_009831255.1	eukarya
Oryza sativa aus subgroup	GCA_009831335.1	eukarya
Oryza sativa aus subgroup	GCA_001952365.2	eukarya
Oryza sativa Indica Group	GCA_009914875.1	eukarya
Oryza sativa Indica Group	GCA_009831025.1	eukarya
Oryza sativa Indica Group	GCA_009829375.1	eukarya
Oryza sativa Indica Group	GCA_001618795.1	eukarya
Oryza sativa Indica Group	GCA_009831295.1	eukarya
Oryza sativa Indica Group	GCA_009831355.1	eukarya
Oryza sativa Indica Group	GCA_009829395.1	eukarya
Oryza sativa Indica Group	GCA_001618785.1	eukarya
Oryza sativa Indica Group	GCA_009831045.1	eukarya
Oryza sativa tropical japonica subgroup	GCA_009830595.1	eukarya
Oryza sativa tropical japonica subgroup	GCA_009831275.1	eukarya
Oryza sativa tropical japonica subgroup	GCA_009831315.1	eukarya
Panthera leo x Panthera tigris	GCA_018350195.1	metazoa
Panthera leo x Panthera tigris	GCA_018350215.1	metazoa
Patiria miniata	GCA_015706575.1	metazoa
Penaeus chinensis	GCA_019202785.2	metazoa
Penaeus vannamei	GCA_003789085.1	metazoa
Petrophora chlorosata	GCA_951640565.1	metazoa
Phasia obesa	GCA_949628195.1	metazoa
Philereme vetulata	GCA_918857605.2	metazoa
Phyllopteryx taeniolatus	GCA_024500385.1	metazoa
Phyto melanocephala	GCA_941918925.1	metazoa
Phyto melanocephala	GCA_941918875.1	metazoa
Plebejus argus	GCA_905404155.3	metazoa
Plectropomus leopardus	GCA_011397275.1	metazoa
Pleuronectes platessa	GCA_947347685.1	metazoa
Protodeltote pygarga	GCA_936440985.2	metazoa
Protodeltote pygarga	GCA_936450705.2	metazoa
Protophormia terraenovae	GCA_951394005.1	metazoa
Protophormia terraenovae	GCA_951394085.1	metazoa
Pseudoips prasinana	GCA_951640165.1	metazoa
Pseudoliparis sp. Yap Trench	GCA_004335475.1	metazoa
Rutpela maculata	GCA_936432065.2	metazoa
