Species	Accession	Clade
Bufo bufo	GCA_905171765.1	metazoa
Bufo gargarizans	GCA_014858855.1	metazoa
Leptobrachium leishanense	GCA_009667805.1	metazoa
Rana temporaria	GCA_905171775.1	metazoa
Xenopus laevis	GCA_017654675.1	metazoa
Xenopus tropicalis	GCA_000004195.4	metazoa
Amphibalanus amphitrite	GCA_019059575.1	metazoa
Athripsodes cinereus	GCA_947579605.1	metazoa
Centruroides sculpturatus	GCA_000671375.2	metazoa
Cherax quadricarinatus	GCA_026875155.2	metazoa
Cheumatopsyche charites	GCA_024721215.1	metazoa
Cryptotermes secundus	GCA_002891405.2	metazoa
Ctenocephalides felis	GCA_003426905.1	metazoa
Daphnia carinata	GCA_022539665.3	metazoa
Daphnia magna	GCA_020631705.2	metazoa
Daphnia pulex	GCA_021134715.1	metazoa
Daphnia pulicaria	GCA_021234035.2	metazoa
Dermacentor andersoni	GCA_023375885.2	metazoa
Dermacentor silvarum	GCA_013339745.1	metazoa
Dermacentor silvarum	GCA_013339745.2	metazoa
Dermatophagoides pteronyssinus	GCA_001901225.2	metazoa
Eriocheir sinensis	GCA_024679095.1	metazoa
Eurytemora affinis	GCA_000591075.2	metazoa
Folsomia candida	GCA_002217175.1	metazoa
Frankliniella occidentalis	GCA_000697945.4	metazoa
Galendromus occidentalis	GCA_000255335.2	metazoa
Glyphotaelius pellucidus	GCA_936435175.1	metazoa
Haemaphysalis longicornis	GCA_013339765.1	metazoa
Homarus americanus	GCA_018991925.1	metazoa
Hyalella azteca	GCA_000764305.2	metazoa
Hyalomma asiaticum	GCA_013339685.1	metazoa
Hydropsyche tenuis	GCA_009617725.1	metazoa
Ixodes persulcatus	GCA_013358835.1	metazoa
Ixodes scapularis	GCA_016920785.2	metazoa
Lepeophtheirus salmonis	GCA_016086655.3	metazoa
Limnephilus lunatus	GCA_917563855.2	metazoa
Limnephilus marmoratus	GCA_917880885.1	metazoa
Limnephilus rhombicus	GCA_929108145.2	metazoa
Limulus polyphemus	GCA_000517525.1	metazoa
Oppia nitens	GCA_028296485.1	metazoa
Panonychus citri	GCA_014898815.1	metazoa
Parasteatoda tepidariorum	GCA_000365465.3	metazoa
Penaeus chinensis	GCA_019202785.2	metazoa
Penaeus japonicus	GCA_017312705.1	metazoa
Penaeus monodon	GCA_015228065.1	metazoa
Penaeus vannamei	GCA_003789085.1	metazoa
Pollicipes pollicipes	GCA_011947565.2	metazoa
Portunus trituberculatus	GCA_017591435.1	metazoa
Procambarus clarkii	GCA_020424385.2	metazoa
Rhipicephalus microplus	GCA_013339725.1	metazoa
Rhipicephalus sanguineus	GCA_013339695.2	metazoa
Rhipicephalus sanguineus	GCA_013339695.1	metazoa
Sarcoptes scabiei	GCA_014595675.1	metazoa
Schistocerca americana	GCA_021461395.2	metazoa
Schistocerca cancellata	GCA_023864275.2	metazoa
Schistocerca gregaria	GCA_023897955.2	metazoa
Schistocerca nitens	GCA_023898315.2	metazoa
Schistocerca piceifrons	GCA_021461385.2	metazoa
Schistocerca serialis cubense	GCA_023864345.3	metazoa
Stegodyphus dumicola	GCA_010614865.2	metazoa
Thrips palmi	GCA_012932325.1	metazoa
Uloborus diversus	GCA_026930045.1	metazoa
Varroa jacobsoni	GCA_002532875.1	metazoa
Accipiter gentilis	GCA_012487025.1	metazoa
Anas platyrhynchos	GCA_017639305.1	metazoa
Anas platyrhynchos	GCA_015476345.1	metazoa
Anas platyrhynchos	GCA_017639285.1	metazoa
Anas zonorhyncha	GCA_002224875.1	metazoa
Anser cygnoides domesticus	GCA_000971095.1	metazoa
Aptenodytes patagonicus	GCA_010087175.1	metazoa
Aquila chrysaetos chrysaetos	GCA_900496995.2	metazoa
Bubo bubo	GCA_010303855.1	metazoa
Buteo japonicus	GCA_010312235.1	metazoa
Cairina moschata domestica	GCA_009194515.1	metazoa
Calypte anna	GCA_003957555.2	metazoa
Camarhynchus parvulus	GCA_902806625.1	metazoa
Catharus ustulatus	GCA_009819885.1	metazoa
Chiroxiphia lanceolata	GCA_009829145.1	metazoa
Corvus moneduloides	GCA_009650515.1	metazoa
Corvus moneduloides	GCA_009650955.1	metazoa
Cuculus canorus	GCA_017976375.1	metazoa
Cygnus atratus	GCA_013377495.1	metazoa
Cygnus olor	GCA_009769625.2	metazoa
Dromaius novaehollandiae	GCA_016128335.1	metazoa
Eudyptes chrysocome	GCA_010085355.1	metazoa
Eudyptes filholi	GCA_010085365.1	metazoa
Eudyptes moseleyi	GCA_010082375.1	metazoa
Eudyptes pachyrhynchus	GCA_010085335.1	metazoa
Eudyptes robustus	GCA_010085315.1	metazoa
Eudyptes sclateri	GCA_010078445.1	metazoa
Falco cherrug	GCA_000337975.1	metazoa
Falco peregrinus	GCA_012488915.1	metazoa
Falco peregrinus	GCA_023634155.1	metazoa
Falco tinnunculus	GCA_010332995.1	metazoa
Ficedula albicollis	GCA_000247815.2	metazoa
Gallus gallus	GCA_000002315.5	metazoa
Gallus gallus	GCA_027557775.1	metazoa
Gallus gallus	GCA_016699485.1	metazoa
Gallus gallus	GCA_016700215.2	metazoa
Gallus gallus	GCA_027408225.1	metazoa
Grus americana	GCA_028858705.1	metazoa
Haemorhous mexicanus	GCA_027477595.1	metazoa
Hirundo rustica	GCA_015227805.1	metazoa
Malurus cyaneus samueli	GCA_009741485.1	metazoa
Meleagris gallopavo	GCA_905368555.1	metazoa
Meleagris gallopavo	GCA_000146605.4	metazoa
Melopsittacus undulatus	GCA_012275295.1	metazoa
Molothrus ater	GCA_012460135.1	metazoa
Otus sunia	GCA_010365825.1	metazoa
Passer domesticus	GCA_001700915.1	metazoa
Pipra filicauda	GCA_003945595.1	metazoa
Poecile atricapillus	GCA_011421415.1	metazoa
Strigops habroptila	GCA_004027225.1	metazoa
Strix occidentalis caurina	GCA_002372975.1	metazoa
